20422,10,100,1,11,"Chae-ku","Kwon","",33,"2001-6-5",40419,177,0,210,188,0,0,100,10,10,0,3,-1,11,11,0,3,1,114,105,136,75,55,110,"","",0,0,0,0,0,0,0,0,112,177,41,79,180,0,0,0,0,0,0,0,0,54,22,33,0,0,0,0,0,0,0,0,100,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,6,5,0,0,304,-2,-500,3,0
20423,0,0,7,0,"Alberto","Hernandez","",26,"2008-12-17",49935,124,0,189,190,1,1,103,118,0,10,1,-1,59,8,0,1,2,7,132,94,74,66,135,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,166,147,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,1,0,0,0,0,0,0,6,0
20424,177,105,2,0,"Edgar","Rodriguez","",25,"2009-2-2",70570,56,0,214,186,0,0,102,83,6,10,1,-1,39,9,0,1,1,85,107,78,105,105,119,"","",0,0,0,0,0,0,0,0,0,47,64,75,3,0,0,0,0,0,0,0,0,1,24,30,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,90,0,0,0,1,0
20425,15,100,8,0,"Terry","Skinner","",27,"2007-5-5",77266,12,0,184,179,0,0,101,40,15,22,28,-1,49,9,0,1,1,113,93,131,200,74,108,"","",0,0,0,0,0,0,0,0,187,59,68,38,28,0,0,0,0,0,0,0,0,173,192,194,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,'',0,0,1,0,0,0,-102,10,0,6,435
20426,20,100,2,0,"Jonathan","Bexiga","",26,"2008-11-23",7397,210,0,217,194,0,0,100,20,20,0,5,1,11,9,0,2,1,83,3,113,110,24,36,"","",0,0,0,0,0,0,0,0,169,140,141,83,43,0,0,0,0,0,0,0,0,18,5,10,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,4,4,0,0,0,136,400,2,10
20427,0,0,1,12,"Danny","Cruz","",26,"2008-9-1",71389,56,0,179,187,1,1,105,154,0,3,1,-1,11,3,0,3,1,97,39,42,87,65,100,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,30,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,0,0,4,0
20428,27,100,1,12,"Willie","Macias","",27,"2007-1-22",71389,56,0,214,189,0,0,100,27,27,11,1,-1,22,9,0,1,1,182,112,97,185,72,141,"","",0,0,0,0,0,0,0,0,124,14,14,2,5,0,0,0,0,0,0,0,0,29,8,3,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,3,3,0,0,392,-289,353,3,-3920
20429,0,0,8,0,"Diego","Sanchez","",25,"2009-1-19",16758,49,0,198,189,0,1,102,63,0,26,1,-1,20,9,0,1,1,200,42,197,63,130,39,"","",0,0,0,0,0,0,0,0,187,27,1,41,31,0,0,0,0,0,0,0,0,174,187,151,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,0,0,6,0
20430,22,100,3,0,"Jose","Lezcano","",26,"2008-11-9",42625,56,0,207,186,0,0,100,22,22,11,1,-1,8,9,0,2,2,106,95,165,87,80,123,"","",0,0,0,0,0,0,0,0,160,98,76,171,48,0,0,0,0,0,0,0,0,2,3,6,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,42,11,10,-2,6,0
20431,0,0,8,0,"Nelson","Espinal","",26,"2008-12-9",10196,56,0,178,187,1,1,105,176,0,30,1,-1,31,4,0,3,1,117,101,120,73,111,94,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,201,115,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,0,0,6,0
20432,0,0,5,0,"Mario","Ramos","",25,"2009-4-29",47987,210,0,208,187,0,1,103,117,0,1,1,-1,45,9,0,2,1,57,119,160,165,120,92,"","",0,0,0,0,0,0,0,0,160,94,102,20,82,0,0,0,0,0,0,0,0,132,110,130,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,0,0,6,0
20433,0,0,3,0,"Tony","Ruiz","",25,"2009-1-10",83450,56,0,176,188,1,1,105,162,0,23,1,-1,43,6,0,2,1,147,42,120,15,175,22,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,13,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,0,0,6,0
